cinema_name_, movie_house, theater_info, phone, address
SM Center Sangandaan Cinema 1,SM Center Sangandaan, , ,"
Marcelo H. Del Pilar St. corner Samson Road
Brgy 003
Caloocan City
"
SM Center Sangandaan Cinema 2,SM Center Sangandaan, , ,"
Marcelo H. Del Pilar St. corner Samson Road
Brgy 003
Caloocan City
"
SM Center Sangandaan Cinema 3,SM Center Sangandaan, , ,"
Marcelo H. Del Pilar St. corner Samson Road
Brgy 003
Caloocan City
"
SM Center Sangandaan Cinema 4,SM Center Sangandaan, , ,"
Marcelo H. Del Pilar St. corner Samson Road
Brgy 003
Caloocan City
"
Evia Lifestyle Center MX4D Cinema 1,Evia Lifestyle Center, ,(63 977) 235-6541,"
Evia Lifestyle Center in Bgy. Tindig na Mangga
Daang-Hari, Almanza Dos
Las Piñas City
"
Evia Lifestyle Center VIP Cinema 2,Evia Lifestyle Center, ,(63 977) 235-6541,"
Evia Lifestyle Center in Bgy. Tindig na Mangga
Daang-Hari, Almanza Dos
Las Piñas City
"
Evia Lifestyle Center Cinema 3,Evia Lifestyle Center, ,(63 977) 235-6541,"
Evia Lifestyle Center in Bgy. Tindig na Mangga
Daang-Hari, Almanza Dos
Las Piñas City
"
Evia Lifestyle Center Cinema 4,Evia Lifestyle Center, ,(63 977) 235-6541,"
Evia Lifestyle Center in Bgy. Tindig na Mangga
Daang-Hari, Almanza Dos
Las Piñas City
"
Robinsons Place Las Piñas Cinema 1,Robinsons Place Las Piñas, ,(63 2) 886-9234,"
Level 2, 345 Alabang-Zapote Road
Las Piñas City
"
Robinsons Place Las Piñas Cinema 2,Robinsons Place Las Piñas, ,(63 2) 886-9234,"
Level 2, 345 Alabang-Zapote Road
Las Piñas City
"
Robinsons Place Las Piñas Cinema 3,Robinsons Place Las Piñas, ,(63 2) 886-9234,"
Level 2, 345 Alabang-Zapote Road
Las Piñas City
"
Robinsons Place Las Piñas Cinema 4,Robinsons Place Las Piñas, ,(63 2) 886-9234,"
Level 2, 345 Alabang-Zapote Road
Las Piñas City
"
SM SouthMall Digital Theater,SM SouthMall,Ultra Surround,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
SM SouthMall Cinema  2,SM SouthMall,Ultra Surround,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
SM SouthMall Cinema  3,SM SouthMall,Dolby Digital EX,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
SM SouthMall Cinema  4,SM SouthMall,Ultra Surround,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
SM SouthMall Cinema  5,SM SouthMall,Ultra Surround,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
SM SouthMall Cinema  6,SM SouthMall,Ultra Surround,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
SM SouthMall Cinema  7,SM SouthMall,Ultra Surround,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
SM SouthMall Cinema  8,SM SouthMall,Dolby Digital EX,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
SM SouthMall IMAX,SM SouthMall,Ultra Surround,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
Vista Mall Las Piñas Cinema 1,Vista Mall Las Piñas, , ,"
C.V. Starr Ave.
Philamlife Village, Pamplona II
Las Piñas City
"
Vista Mall Las Piñas Cinema 2,Vista Mall Las Piñas, , ,"
C.V. Starr Ave.
Philamlife Village, Pamplona II
Las Piñas City
"
Vista Mall Las Piñas Cinema 3,Vista Mall Las Piñas, , ,"
C.V. Starr Ave.
Philamlife Village, Pamplona II
Las Piñas City
"
Vista Mall Las Piñas Cinema 4,Vista Mall Las Piñas, , ,"
C.V. Starr Ave.
Philamlife Village, Pamplona II
Las Piñas City
"
Cash and Carry Cash & Carry Cinema 1,Cash and Carry, ,(63 2) 856-5488,"
Corner Buendia and South Super Highway
Makati City
"
Cash and Carry Cash & Carry Cinema 2,Cash and Carry, ,(63 2) 856-5488,"
Corner Buendia and South Super Highway
Makati City
"
Century City Mall Cinema 1,Century City Mall, ,(63 2) 705-6200 loc 124,"
3rd Floor Century City Mall, Kalayaan Ave. cor. Salamanca St.
Brgy. Poblacion
Makati City
"
Century City Mall Cinema 2,Century City Mall, ,(63 2) 705-6200 loc 124,"
3rd Floor Century City Mall, Kalayaan Ave. cor. Salamanca St.
Brgy. Poblacion
Makati City
"
Century City Mall Premier Cinema 3,Century City Mall, ,(63 2) 705-6200 loc 124,"
3rd Floor Century City Mall, Kalayaan Ave. cor. Salamanca St.
Brgy. Poblacion
Makati City
"
Century City Mall Cinema 4,Century City Mall, ,(63 2) 705-6200 loc 124,"
3rd Floor Century City Mall, Kalayaan Ave. cor. Salamanca St.
Brgy. Poblacion
Makati City
"
Glorietta 4 Cinema 1,Glorietta 4,Dolby Stereo Digital,"(63 2) 752-7880, (63 2) 752-7881, (63 2) 752-7882","
4th Level Glorietta 4, Ayala Center
Makati City
"
Glorietta 4 Cinema 2,Glorietta 4,Dolby Stereo Digital,"(63 2) 752-7880, (63 2) 752-7881, (63 2) 752-7882","
4th Level Glorietta 4, Ayala Center
Makati City
"
Glorietta 4 Cinema 3,Glorietta 4,"Sony Dynamic Digital Sound (SDDS), Digital Theater System (DTS), Dolby Stereo Digital (DSD)","(63 2) 752-7880, (63 2) 752-7881, (63 2) 752-7882","
4th Level Glorietta 4, Ayala Center
Makati City
"
Glorietta 4 Cinema 4,Glorietta 4,DTS,"(63 2) 752-7880, (63 2) 752-7881, (63 2) 752-7882","
4th Level Glorietta 4, Ayala Center
Makati City
"
Glorietta 4 Cinema 5,Glorietta 4,Digital Theater System,"(63 2) 752-7880, (63 2) 752-7881, (63 2) 752-7882","
4th Level Glorietta 4, Ayala Center
Makati City
"
Glorietta 4 Cinema 6,Glorietta 4,Digital Theater System,"(63 2) 752-7880, (63 2) 752-7881, (63 2) 752-7882","
4th Level Glorietta 4, Ayala Center
Makati City
"
Glorietta 4 Cinema 7,Glorietta 4,Digital Theater System,"(63 2) 752-7880, (63 2) 752-7881, (63 2) 752-7882","
4th Level Glorietta 4, Ayala Center
Makati City
"
Power Plant Mall Power Plant Cinema 1,Power Plant Mall, ,"(63 2) 898-1440, (63 2) 898-1441","
Rockwell Drive cor. Estrella St.
Makati City
"
Power Plant Mall Power Plant Dolby Atmos Cinema 2,Power Plant Mall, ,"(63 2) 898-1440, (63 2) 898-1441","
Rockwell Drive cor. Estrella St.
Makati City
"
Power Plant Mall Power Plant Dolby Atmos Cinema 3,Power Plant Mall, ,"(63 2) 898-1440, (63 2) 898-1441","
Rockwell Drive cor. Estrella St.
Makati City
"
Power Plant Mall Power Plant Dolby Atmos Cinema 4,Power Plant Mall, ,"(63 2) 898-1440, (63 2) 898-1441","
Rockwell Drive cor. Estrella St.
Makati City
"
Power Plant Mall Power Plant Cinema 5,Power Plant Mall, ,"(63 2) 898-1440, (63 2) 898-1441","
Rockwell Drive cor. Estrella St.
Makati City
"
Power Plant Mall Power Plant Dolby Atmos Cinema 6,Power Plant Mall, ,"(63 2) 898-1440, (63 2) 898-1441","
Rockwell Drive cor. Estrella St.
Makati City
"
Power Plant Mall Power Plant Cinema 7,Power Plant Mall, , ,"
Rockwell Drive cor. Estrella St.
Makati City
"
Power Plant Mall Power Plant VIP Cinema 8,Power Plant Mall, , ,"
Rockwell Drive cor. Estrella St.
Makati City
"
Waltermart Makati Cinema - 1,Waltermart Makati, ,(63 2) 519-7401,"
790 Chino Roces Ave.
Makati City
"
Waltermart Makati Cinema - 2,Waltermart Makati, ,(63 2) 519-7401,"
790 Chino Roces Ave.
Makati City
"
Waltermart Makati Cinema - 3,Waltermart Makati, ,(63 2) 519-7401,"
790 Chino Roces Ave.
Makati City
"
Waltermart Makati Cinema - 4,Waltermart Makati, ,(63 2) 519-7401,"
790 Chino Roces Ave.
Makati City
"
Forum Robinsons Cinema 1,Forum Robinsons, ,"(63 2) 687-5378, (63 2) 398-8007","
No. 30 EDSA corner Pioneer St.
Mandaluyong City
"
Forum Robinsons Cinema 2,Forum Robinsons, ,"(63 2) 687-5378, (63 2) 398-8007","
No. 30 EDSA corner Pioneer St.
Mandaluyong City
"
Forum Robinsons Cinema 3,Forum Robinsons, ,"(63 2) 687-5378, (63 2) 398-8007","
No. 30 EDSA corner Pioneer St.
Mandaluyong City
"
Forum Robinsons Cinema 4,Forum Robinsons, ,"(63 2) 687-5378, (63 2) 398-8007","
No. 30 EDSA corner Pioneer St.
Mandaluyong City
"
SM Light Mall Cinema 1,SM Light Mall, , ,"
2nd Level SM Light Mall, Light Residences, EDSA cor. Madison St.
Mandaluyong City
"
SM Light Mall Cinema 2,SM Light Mall, , ,"
2nd Level SM Light Mall, Light Residences, EDSA cor. Madison St.
Mandaluyong City
"
SM Light Mall Cinema 3,SM Light Mall, , ,"
2nd Level SM Light Mall, Light Residences, EDSA cor. Madison St.
Mandaluyong City
"
SM MegaMall Digital Theater 1,SM MegaMall,Dolby Digital,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Digital Theater 2,SM MegaMall,Dolby Surround,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Digital Theater 3,SM MegaMall,Dolby Digital,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Cinema  4,SM MegaMall,DTS,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Cinema  5,SM MegaMall,Dolby Surround,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Cinema  6,SM MegaMall,Dolby Surround,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Cinema  7,SM MegaMall,Synthesized Surround,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Cinema  8,SM MegaMall,Synthesized Surround,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Cinema  9,SM MegaMall,Dolby Surround,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Cinema 10,SM MegaMall,Dolby Surround,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Cinema 11,SM MegaMall,Synthesized Surround,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Cinema 12,SM MegaMall,Synthesized Surround,"(63 2) 633-1901, (63 2) 632-9408","
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall Director's Club,SM MegaMall, , ,"
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
SM MegaMall IMAX,SM MegaMall, , ,"
Edsa cor. Julia Vargas Ave.
Mandaluyong City
"
Shangri-la Plaza Mall Shangri-la Plaza Cinema 1,Shangri-la Plaza Mall,Dolby,"(63 2) 633-2227, (63 2) 633-7851 Loc. 171","
EDSA cor. Shaw Blvd.
Mandaluyong City
"
Shangri-la Plaza Mall Shangri-la Plaza Cinema 2,Shangri-la Plaza Mall, ,"(63 2) 633-2227, (63 2) 633-7851 Loc. 171","
EDSA cor. Shaw Blvd.
Mandaluyong City
"
Shangri-la Plaza Mall Shangri-la Plaza Cinema 3,Shangri-la Plaza Mall,Dolby,"633-2227, 633-7851 loc 171","
EDSA cor. Shaw Blvd.
Mandaluyong City
"
Shangri-la Plaza Mall Shangri-la Plaza Cinema 4,Shangri-la Plaza Mall,Dolby,"633-2227, 633-7851 loc 171","
EDSA cor. Shaw Blvd.
Mandaluyong City
"
Shangri-la Plaza Mall Shangri-la Plaza Premiere Theatre,Shangri-la Plaza Mall, ,"633-2227, 633-7851 loc 171","
EDSA cor. Shaw Blvd.
Mandaluyong City
"
Starmall EDSA-Shaw Cinema 1,Starmall EDSA-Shaw,Dolby Surround,"(63 2) 718-1886 loc 129, (63 2) 726-6150","
EDSA cor. Shaw Blvd.
Mandaluyong City
"
Starmall EDSA-Shaw Cinema 2,Starmall EDSA-Shaw,Dolby Surround,"(63 2) 718-1886 loc 129, (63 2) 726-6150","
EDSA cor. Shaw Blvd.
Mandaluyong City
"
Starmall EDSA-Shaw Cinema 3,Starmall EDSA-Shaw,Dolby Surround,"(63 2) 718-1886 loc 129, (63 2) 726-6150","
EDSA cor. Shaw Blvd.
Mandaluyong City
"
Cinerama Cineworld (Isetann) Isetann Cinerama 1,Cinerama Cineworld (Isetann), ,(63 2) 733-4228,"
Isetann Recto Manila
Manila
"
Cinerama Cineworld (Isetann) Isetann Cinerama 2,Cinerama Cineworld (Isetann), ,(63 2) 733-4228,"
Isetann Recto Manila
Manila
"
Cinerama Cineworld (Isetann) Isetann Cinerama 3,Cinerama Cineworld (Isetann), ,(63 2) 733-4228,"
Isetann Recto Manila
Manila
"
Cinerama Cineworld (Isetann) Isetann Cinerama 4,Cinerama Cineworld (Isetann), ,(63 2) 733-4228,"
Isetann Recto Manila
Manila
"
Lucky Chinatown Mall Lucky Chinatown Cinema 1,Lucky Chinatown Mall, ,(63 2)791-8111,"
5/F Reina Regente St. Corner Dela Reina St.
Brgy. 293 Zone 28, Binondo
Manila
"
Lucky Chinatown Mall Lucky Chinatown Cinema 2,Lucky Chinatown Mall, ,(63 2)791-8111,"
5/F Reina Regente St. Corner Dela Reina St.
Brgy. 293 Zone 28, Binondo
Manila
"
Lucky Chinatown Mall Lucky Chinatown Cinema 3,Lucky Chinatown Mall, ,(63 2)791-8111,"
5/F Reina Regente St. Corner Dela Reina St.
Brgy. 293 Zone 28, Binondo
Manila
"
Lucky Chinatown Mall Lucky Chinatown Cinema 4,Lucky Chinatown Mall, ,(63 2)791-8111,"
5/F Reina Regente St. Corner Dela Reina St.
Brgy. 293 Zone 28, Binondo
Manila
"
Robinsons Place Manila Robinsons Manila Cinema 1 (Midtown),Robinsons Place Manila, ,(63 2) 397-7020,"
Pedro Gil cor. Adriatico Sts.
Ermita
Manila
"
Robinsons Place Manila Robinsons Manila Cinema 2 (Midtown),Robinsons Place Manila, ,(63 2) 397-7020,"
Pedro Gil cor. Adriatico Sts.
Ermita
Manila
"
Robinsons Place Manila Robinsons Manila Cinema 3 (Midtown),Robinsons Place Manila, ,(63 2) 397-7020,"
Pedro Gil cor. Adriatico Sts.
Ermita
Manila
"
Robinsons Place Manila Robinsons Manila Cinema 4 (Pedro Gil),Robinsons Place Manila,Dolby Digital,(63 2) 397-7020,"
Pedro Gil cor. Adriatico Sts.
Ermita
Manila
"
Robinsons Place Manila Robinsons Manila Cinema 5 (Pedro Gil),Robinsons Place Manila,Dolby Stereo,(63 2) 397-7020,"
Pedro Gil cor. Adriatico Sts.
Ermita
Manila
"
Robinsons Place Manila Robinsons Manila Cinema 6 (Pedro Gil),Robinsons Place Manila,Dolby Stereo,(63 2) 397-7020,"
Pedro Gil cor. Adriatico Sts.
Ermita
Manila
"
Robinsons Place Manila Robinsons Manila Cinema 7 (Pedro Gil),Robinsons Place Manila,Dolby Stereo,(63 2) 397-7020,"
Pedro Gil cor. Adriatico Sts.
Ermita
Manila
"
SM City Manila Cinema 1,SM City Manila,Dolby Digital,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 2,SM City Manila,Dolby Digital,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 3,SM City Manila,Dolby Surround,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 4,SM City Manila,Dolby Surround,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 5,SM City Manila,Dolby Digital,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 6,SM City Manila,Dolby Digital EX,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 7,SM City Manila,Dolby Surround,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 8,SM City Manila,Dolby Surround,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 9,SM City Manila,Dolby Surround,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 10,SM City Manila,Dolby Surround,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 11,SM City Manila,Dolby Surround,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM City Manila Cinema 12,SM City Manila,Dolby Surround,"(63 2) 523-9240, (63 2) 523-9241, (63 2) 523-9232","
Concepcion cor. Arroceros & San Marcelino Sts.
Manila
"
SM San Lazaro Cinema 1,SM San Lazaro, ,(63 2) 7862488,"
Felix Huertas cor. A.H. Lacson Sts.
Sta. Cruz
Manila
"
SM San Lazaro Cinema 2,SM San Lazaro, ,(63 2) 7862488,"
Felix Huertas cor. A.H. Lacson Sts.
Sta. Cruz
Manila
"
SM San Lazaro Cinema 3,SM San Lazaro, ,(63 2) 7862488,"
Felix Huertas cor. A.H. Lacson Sts.
Sta. Cruz
Manila
"
SM San Lazaro Cinema 4,SM San Lazaro, ,(63 2) 7862488,"
Felix Huertas cor. A.H. Lacson Sts.
Sta. Cruz
Manila
"
SM San Lazaro Cinema 5,SM San Lazaro, ,(63 2) 7862488,"
Felix Huertas cor. A.H. Lacson Sts.
Sta. Cruz
Manila
"
SM San Lazaro Cinema 6,SM San Lazaro, ,(63 2) 7862488,"
Felix Huertas cor. A.H. Lacson Sts.
Sta. Cruz
Manila
"
Blue Wave Cinema 1,Blue Wave, ,"(63 2) 571-9720, (63 2) 571-9721","
Brgy. Sto. Niño
Sumulong Highway
Marikina
"
Blue Wave Cinema 2,Blue Wave, ,"(63 2) 571-9720, (63 2) 571-9721","
Brgy. Sto. Niño
Sumulong Highway
Marikina
"
Blue Wave Cinema 3,Blue Wave, ,"(63 2) 571-9720, (63 2) 571-9721","
Brgy. Sto. Niño
Sumulong Highway
Marikina
"
Blue Wave Cinema 4,Blue Wave, ,"(63 2) 571-9720, (63 2) 571-9721","
Brgy. Sto. Niño
Sumulong Highway
Marikina
"
SM City Marikina Digital Theater 1,SM City Marikina, ,(63 2) 477-1829,"
Marcos Highway
Brgy. Kalumpang
Marikina
"
SM City Marikina Digital Theater 2,SM City Marikina, ,(63 2) 477-1829,"
Marcos Highway
Brgy. Kalumpang
Marikina
"
SM City Marikina Cinema 3,SM City Marikina, ,(63 2) 477-1829,"
Marcos Highway
Brgy. Kalumpang
Marikina
"
SM City Marikina Cinema 4,SM City Marikina, ,(63 2) 477-1829,"
Marcos Highway
Brgy. Kalumpang
Marikina
"
SM City Marikina Cinema 5,SM City Marikina, ,(63 2) 477-1829,"
Marcos Highway
Brgy. Kalumpang
Marikina
"
SM City Marikina Cinema 6,SM City Marikina, ,(63 2) 477-1829,"
Marcos Highway
Brgy. Kalumpang
Marikina
"
SM City Marikina Cinema 7,SM City Marikina, ,(63 2) 477-1829,"
Marcos Highway
Brgy. Kalumpang
Marikina
"
SM City Marikina Cinema 8,SM City Marikina, ,(63 2) 477-1829,"
Marcos Highway
Brgy. Kalumpang
Marikina
"
Alabang Town Center Cinema 1,Alabang Town Center,THX,"(63 2) 842-2289, (63 2) 850-8931, (63 2) 850-9582","
Alabang Commercial Corporation
Alabang-Zapote Road
Muntinlupa
"
Alabang Town Center Cinema 2,Alabang Town Center,Dolby Stereo Digital,"(63 2) 842-2289, (63 2) 850-8931, (63 2) 850-9582","
Alabang Commercial Corporation
Alabang-Zapote Road
Muntinlupa
"
Alabang Town Center Cinema 3,Alabang Town Center,DTS,"(63 2) 842-2289, (63 2) 850-8931, (63 2) 850-9582","
Alabang Commercial Corporation
Alabang-Zapote Road
Muntinlupa
"
Alabang Town Center Cinema 4,Alabang Town Center,"Digital Theater System (DTS)
Guaranteed Seating Cinema (GSC)","(63 2) 842-2289, (63 2) 850-8931, (63 2) 850-9582","
Alabang Commercial Corporation
Alabang-Zapote Road
Muntinlupa
"
Alabang Town Center Cinema 5,Alabang Town Center,DTS,"(63 2) 842-2289, (63 2) 850-8931, (63 2) 850-9582","
Alabang Commercial Corporation
Alabang-Zapote Road
Muntinlupa
"
Ayala Malls South Park Cinema 1,Ayala Malls South Park, , ,"
National Road
Brgy. Alabang
Muntinlupa City
"
Ayala Malls South Park Cinema 2,Ayala Malls South Park, , ,"
National Road
Brgy. Alabang
Muntinlupa City
"
Ayala Malls South Park Cinema 3,Ayala Malls South Park, , ,"
National Road
Brgy. Alabang
Muntinlupa City
"
Ayala Malls South Park Cinema 4,Ayala Malls South Park, , ,"
National Road
Brgy. Alabang
Muntinlupa City
"
Ayala Malls South Park Cinema 5,Ayala Malls South Park, , ,"
National Road
Brgy. Alabang
Muntinlupa City
"
Commercenter Cinemas Cinema 1,Commercenter Cinemas, ,(63 2) 893-1450,"
2nd Floor Commercenter Cinema Bldg., Filinvest and East Asia Drive
Filinvest Corporate City
Muntinlupa City
"
Commercenter Cinemas Cinema 2,Commercenter Cinemas, ,(63 2) 893-1450,"
2nd Floor Commercenter Cinema Bldg., Filinvest and East Asia Drive
Filinvest Corporate City
Muntinlupa City
"
Commercenter Cinemas Cinema 3,Commercenter Cinemas, ,(63 2) 893-1450,"
2nd Floor Commercenter Cinema Bldg., Filinvest and East Asia Drive
Filinvest Corporate City
Muntinlupa City
"
Commercenter Cinemas Cinema 4,Commercenter Cinemas, ,(63 2) 893-1450,"
2nd Floor Commercenter Cinema Bldg., Filinvest and East Asia Drive
Filinvest Corporate City
Muntinlupa City
"
Festival Supermall Festival Cinema 1,Festival Supermall,Dolby Digital Surround,"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
Festival Supermall Festival Cinema 2,Festival Supermall,Sony Dynamic Digital Sound (SDDS),"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
Festival Supermall Festival Cinema 3,Festival Supermall,Digital Theater Sound (DTS),"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
Festival Supermall Festival Cinema 4,Festival Supermall, ,"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
Festival Supermall Festival Cinema 5,Festival Supermall, ,"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
Festival Supermall Festival Cinema 6,Festival Supermall, ,"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
Festival Supermall Festival Cinema 7,Festival Supermall, ,"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
Festival Supermall Festival Cinema 8,Festival Supermall,Digital Theater Sound (DTS),"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
Festival Supermall Festival Cinema 9,Festival Supermall, ,"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
Festival Supermall Festival Cinema 10,Festival Supermall, ,"(63 2) 850-3571, (63 2) 850-3572","
Corporate Ave. cor. Civic Drive
Filinvest Corporate City, Alabang
Muntinlupa
"
SM Supercenter Muntinlupa SM Muntinlupa Cinema 1,SM Supercenter Muntinlupa, ,(63 2) 659-1642,"
National Road
Brgy. Tunasan
Muntinlupa
"
SM Supercenter Muntinlupa SM Muntinlupa Cinema 2,SM Supercenter Muntinlupa, ,(63 2) 659-1642,"
National Road
Brgy. Tunasan
Muntinlupa
"
SM Supercenter Muntinlupa SM Muntinlupa Cinema 3,SM Supercenter Muntinlupa, ,(63 2) 659-1642,"
National Road
Brgy. Tunasan
Muntinlupa
"
SM Supercenter Muntinlupa SM Muntinlupa Cinema 4,SM Supercenter Muntinlupa, ,(63 2) 659-1642,"
National Road
Brgy. Tunasan
Muntinlupa
"
Starmall Alabang Cinema 1,Starmall Alabang,Dolby Surround,(63 2) 850-4285,"
4L, Starmall Alabang
South Super Highway, Alabang
Muntinlupa City
"
Starmall Alabang Cinema 2,Starmall Alabang,Dolby Surround,(63 2) 850-4285,"
4L, Starmall Alabang
South Super Highway, Alabang
Muntinlupa City
"
Starmall Alabang Cinema 3,Starmall Alabang,Dolby Surround,(63 2) 850-4285,"
4L, Starmall Alabang
South Super Highway, Alabang
Muntinlupa City
"
